File,Major_code,Major,Major_category,Total,Employed,Employed_full_time_year_round,Unemployed,Unemployment_rate,Median,P25th,P75th,Rank,Men,Women,ShareWomen,Sample_size,Full_time,Part_time,Full_time_year_round,College_jobs,Non_college_jobs,Low_wage_jobs
all-ages.csv,2310,SPECIAL NEEDS EDUCATION,Education,149689,108272,71615,5357,0.047144655,42000,34000,53000,,,,,,,,,,,
all-ages.csv,2311,SOCIAL SCIENCE OR HISTORY TEACHER EDUCATION,Education,127022,78785,51632,3800,0.046013199,45000,33000,64000,,,,,,,,,,,
all-ages.csv,2312,TEACHER EDUCATION: MULTIPLE LEVELS,Education,88067,58885,37892,2032,0.033356863,40000,30000,51000,,,,,,,,,,,
all-ages.csv,2313,LANGUAGE AND DRAMA EDUCATION,Education,181445,111347,67651,5624,0.048080293,42000,32000,54000,,,,,,,,,,,
all-ages.csv,2314,ART AND MUSIC EDUCATION,Education,231861,155159,94756,6629,0.040973373,42600,32000,56000,,,,,,,,,,,
all-ages.csv,2399,MISCELLANEOUS EDUCATION,Education,225553,126054,91322,5145,0.039215238,50000,35600,71000,,,,,,,,,,,
all-ages.csv,2400,GENERAL ENGINEERING,Engineering,503080,359172,312023,17986,0.047688237,75000,50000,1.00E+05,,,,,,,,,,,
all-ages.csv,2401,AEROSPACE ENGINEERING,Engineering,65734,44944,38491,1969,0.041971309,80000,58000,110000,,,,,,,,,,,
all-ages.csv,2402,BIOLOGICAL ENGINEERING,Engineering,32748,24270,18621,1521,0.058974061,62000,40000,91000,,,,,,,,,,,
all-ages.csv,2403,ARCHITECTURAL ENGINEERING,Engineering,19587,13713,11180,1017,0.06904277,78000,50000,102000,,,,,,,,,,,
all-ages.csv,2404,BIOMEDICAL ENGINEERING,Engineering,18347,12876,9202,1105,0.079035834,65000,40000,96000,,,,,,,,,,,
all-ages.csv,2405,CHEMICAL ENGINEERING,Engineering,188046,131697,109406,6388,0.046261361,86000,60000,120000,,,,,,,,,,,
all-ages.csv,2406,CIVIL ENGINEERING,Engineering,358593,262831,220528,14823,0.053386589,78000,55000,105000,,,,,,,,,,,
all-ages.csv,2407,COMPUTER ENGINEERING,Engineering,154160,128742,111025,7456,0.054743829,80000,60000,107000,,,,,,,,,,,
all-ages.csv,2408,ELECTRICAL ENGINEERING,Engineering,671647,489965,422317,26064,0.050508789,88000,60000,116000,,,,,,,,,,,
all-ages.csv,2409,ENGINEERING MECHANICS PHYSICS AND SCIENCE,Engineering,20582,14909,12257,683,0.043804515,65000,45000,1.00E+05,,,,,,,,,,,
all-ages.csv,2410,ENVIRONMENTAL ENGINEERING,Engineering,13016,9849,8104,472,0.045732003,70000,50000,95000,,,,,,,,,,,
all-ages.csv,2411,GEOLOGICAL AND GEOPHYSICAL ENGINEERING,Engineering,6264,4120,3350,0,0,85000,55000,125000,,,,,,,,,,,
all-ages.csv,2412,INDUSTRIAL AND MANUFACTURING ENGINEERING,Engineering,138366,101273,85014,5498,0.051493383,75000,50000,101000,,,,,,,,,,,
all-ages.csv,2413,MATERIALS ENGINEERING AND MATERIALS SCIENCE,Engineering,21430,14687,11871,933,0.059731114,78000,55000,105000,,,,,,,,,,,
